Region,Unit,Segment,Business,Year,Losses,Expenses,Premium
Alandia,Unit2,Big,Third Party,2015,15046733.06,8646968.781,11775584.21
Alandia,Unit2,Big,Third Party,2016,7050482.107,8092039.13,12892351.8
Alandia,Unit2,Big,Packaging,2012,3558354.689,6633743.477,13286199.51
Alandia,Unit2,Big,Packaging,2013,10367278.61,7664821.61,14951710.49
Alandia,Unit2,Big,Packaging,2014,9792542.381,8298162.773,15240230.75
Alandia,Unit2,Big,Packaging,2015,8302784.198,9142400.694,17491216.45
Alandia,Unit2,Big,Packaging,2016,5993362.251,5881184.658,11230776.61
Alandia,Unit2,Big,Travel,2012,0,78113.77323,0
Alandia,Unit2,Big,Travel,2013,0,-14180.05381,0
Alandia,Unit2,Big,Travel,2014,0,-14154.25361,0
Alandia,Unit2,Big,Travel,2015,0,-15400.16645,0
Alandia,Unit2,Big,Travel,2016,0,-4064.707311,0
Alandia,Unit2,Big,NA,2012,0,0,0
Alandia,Unit2,Big,NA,2013,0,0,0
Alandia,Unit2,Big,NA,2014,0,0,0
Alandia,Unit2,Big,NA,2015,0,0,0
Alandia,Unit2,Big,NA,2016,0,0,0
Alandia,Unit2,Big,NA,2012,0,85500.55689,0
Alandia,Unit2,Big,NA,2016,0,100979.8534,0
Alandia,Unit2,Big,Combined,2012,0,0,0
Alandia,Unit2,Big,Housing,2012,3272609.561,6690960.026,10689179.59
Alandia,Unit2,Big,Housing,2013,2194504.405,7483922.107,8951237.536
Alandia,Unit2,Big,Housing,2014,1765915.728,7944824.738,12482253.54
Alandia,Unit2,Big,Housing,2015,2729074.103,6890371.447,11628561.67
Alandia,Unit2,Big,Housing,2016,3025456.104,7024014.515,13877734.03
Alandia,Unit2,Big,Accidents,2012,206896.2534,354787.9422,671768.3553
Alandia,Unit2,Big,Accidents,2013,72534.10873,563117.7141,513501.6155
Alandia,Unit2,Big,Accidents,2014,55480.05375,1614556.321,688104.3617
Alandia,Unit2,Big,Accidents,2015,91561.43532,430785.2053,588334.6742
Alandia,Unit2,Big,Accidents,2016,90482.57293,196047.7777,618549.4567
Alandia,Unit2,Small,Doctors,2012,93955535.14,83216500.12,212989174.5
Alandia,Unit2,Small,Doctors,2013,104539343.5,96270037.83,244760601
Alandia,Unit2,Small,Doctors,2014,124148974,124833707,272510789.2
Alandia,Unit2,Small,Doctors,2015,131946790.4,145662962.3,313836293.4
Alandia,Unit2,Small,Doctors,2016,132830523.8,180448538.5,348533292
Alandia,Unit2,Small,Criminals,2012,43099.79778,499937.4373,92961.43057
Alandia,Unit2,Small,Criminals,2013,22024.15236,-218922.7726,71343.32397
Alandia,Unit2,Small,Criminals,2014,13527.31777,-507873.6128,43052.22335
Alandia,Unit2,Small,Criminals,2015,4969.825418,-451289.2792,16420.57758
Alandia,Unit2,Small,Criminals,2016,0,-211465.1128,0
Alandia,Unit2,Small,Third Party,2012,654357.8113,763141.0094,1446563.359
Alandia,Unit2,Small,Third Party,2013,602571.5056,780756.443,1525371.682
Alandia,Unit2,Small,Third Party,2014,718520.2864,674488.8195,1515750.036
Alandia,Unit2,Small,Third Party,2015,765737.5449,705015.3936,1437930.397
Alandia,Unit2,Small,Third Party,2016,1233214.251,657416.1789,1419214.473
Alandia,Unit2,Small,Packaging,2012,0,384.3850341,0
Alandia,Unit2,Small,Travel,2012,175597428.7,109086312.1,285004604.5
Alandia,Unit2,Small,Travel,2013,187372290.4,124642810.6,319131422.8
Alandia,Unit2,Small,Travel,2014,198994897.4,126433122.9,316006121.1
Alandia,Unit2,Small,Travel,2015,205974888.2,140982547.1,353918515.8
Alandia,Unit2,Small,Travel,2016,225493919,132309231,361404662.1
Alandia,Unit2,Small,NA,2012,0,0,0
Alandia,Unit2,Small,NA,2013,0,0,0
Alandia,Unit2,Small,NA,2014,0,0,0
Alandia,Unit2,Small,NA,2015,0,0,0
Alandia,Unit2,Small,NA,2016,0,0,0
Alandia,Unit2,Small,NA,2012,0,744142.1215,0
Alandia,Unit2,Small,Combined,2012,0,0,0
Alandia,Unit2,Small,Housing,2012,1939523.487,6150617.154,10147391.41
Alandia,Unit2,Small,Housing,2013,896686.7809,1123905.192,4679986.679
Alandia,Unit2,Small,Housing,2014,280803.4304,418830.9624,802772.2834
Alandia,Unit2,Small,Housing,2015,228844.6566,694747.9146,748085.9074
Alandia,Unit2,Small,Housing,2016,744030.0423,-702481.3605,1507730.306
Alandia,Unit2,Small,Accidents,2012,0,0,0
Alandia,Unit3,Small,Doctors,2012,7355397.86,8295675.909,22877541.84
Alandia,Unit3,Small,Doctors,2013,3897143.234,8442866.066,18328616.1
Alandia,Unit3,Small,Doctors,2014,4247869.486,8394294.785,18395017.73
Alandia,Unit3,Small,Doctors,2015,4538168.883,8287130.366,17889122.85
Alandia,Unit3,Small,Doctors,2016,6550473.503,9096109.974,18419151.98
Alandia,Unit3,Small,Criminals,2012,18551.89197,372991.8431,1122864.801
Alandia,Unit3,Small,Criminals,2013,712122.6551,551719.3766,1498243.567
Alandia,Unit3,Small,Criminals,2014,601670.6167,1001251.235,2643626.53
Alandia,Unit3,Small,Criminals,2015,457232.3114,723696.4843,1619053.536
Alandia,Unit3,Small,Criminals,2016,314229.8835,644752.9292,1372585.843
Alandia,Unit3,Small,Third Party,2012,309721.931,488708.5845,916250.4864
Alandia,Unit3,Small,Third Party,2013,59242.62598,189067.2657,199445.9831
Alandia,Unit3,Small,Third Party,2014,266294.4241,206260.4041,736275.8135
Alandia,Unit3,Small,Third Party,2015,1282925.521,280559.487,1175509.875
Alandia,Unit3,Small,Third Party,2016,902111.4506,662934.7286,1869738.98
Alandia,Unit3,Small,Packaging,2012,852808.2611,177728.8314,2246479.379
Alandia,Unit3,Small,Packaging,2013,1452754.697,814566.1894,2295949.82
Alandia,Unit3,Small,Packaging,2014,734825.4514,583303.3376,1252866.846
Alandia,Unit3,Small,Packaging,2015,691557.4691,951090.7089,1728665.511
Alandia,Unit3,Small,Packaging,2016,363453.107,515932.0427,1251890.042
Alandia,Unit3,Small,Travel,2012,48841605.1,23745203.01,59679546.76
Alandia,Unit3,Small,Travel,2013,52297243.62,28430119.96,72304090.38
Alandia,Unit3,Small,Travel,2014,55271465.54,31439382.24,78900559.4
Alandia,Unit3,Small,Travel,2015,58227376.07,39493408.24,94052608.68
Alandia,Unit3,Small,Travel,2016,66554562.85,46782905.98,107380928.7
Alandia,Unit3,Small,NA,2012,0,0,0
Alandia,Unit3,Small,NA,2013,0,0,-0.058946496
Alandia,Unit3,Small,NA,2014,0,0,0
Alandia,Unit3,Small,NA,2015,0,0,0
Alandia,Unit3,Small,NA,2016,0,0,0
Alandia,Unit3,Small,NA,2012,0,0,0
Alandia,Unit3,Small,NA,2014,4614302.638,1343452.155,3080895.012
Alandia,Unit3,Small,NA,2015,5011907.385,1136431.241,2777690.177
Alandia,Unit3,Small,NA,2016,2605239.451,-1015260.257,2446240.726
Alandia,Unit3,Small,Combined,2012,0,0,0
Alandia,Unit3,Small,Combined,2014,0,0,0
Alandia,Unit3,Small,Combined,2016,0,-454.856705,0
Alandia,Unit3,Small,Housing,2012,5139495.969,5015550.552,9232544.295
Alandia,Unit3,Small,Housing,2013,8104878.607,4635569.898,9012482.459
Alandia,Unit3,Small,Housing,2014,7915567.074,5112613.744,13069920.92
Alandia,Unit3,Small,Housing,2015,7146595.762,5270863.163,12253934.4
Alandia,Unit3,Small,Housing,2016,5320759.051,5463466.497,13401496.3
Alandia,Unit3,Small,Accidents,2012,804834.0624,1417628.684,4055667.092
Alandia,Unit3,Small,Accidents,2013,1466815.665,1509235.871,4278829.152
Alandia,Unit3,Small,Accidents,2014,653732.6495,1966912.303,5034633.624
Alandia,Unit3,Small,Accidents,2015,908016.6319,2161924.68,5019172.012
Alandia,Unit3,Small,Accidents,2016,697314.4347,1485305.133,3447081.759
Belandia,Unit4,Big,Doctors,2012,0,-40611.00318,0
Belandia,Unit4,Big,Criminals,2012,0,147247.9431,0
Belandia,Unit4,Big,Third Party,2012,3070830.948,1242993.96,5265779.63
Belandia,Unit4,Big,Packaging,2012,488244.2817,193538.8698,658910.6844
Belandia,Unit4,Big,Travel,2012,0,0,0
Belandia,Unit4,Big,NA,2012,0,0,0
Belandia,Unit4,Big,NA,2012,535953.5016,-581625.9272,602015.5127
Belandia,Unit4,Big,Combined,2012,0,0,0
Belandia,Unit4,Big,Housing,2012,5535117.236,1519271.347,5453022.402
Belandia,Unit4,Big,Accidents,2012,0,0,0
Belandia,Unit4,Big,Doctors,2012,1487905.064,1253230.13,4017297.647
Belandia,Unit4,Big,Doctors,2013,2046958.398,1285639.483,4114479.439
Belandia,Unit4,Big,Doctors,2014,1613122.42,1449597.753,4329837.262
Belandia,Unit4,Big,Doctors,2015,3556477.058,2054381.118,4608444.326
Belandia,Unit4,Big,Criminals,2012,0,0,0
Belandia,Unit4,Big,Third Party,2012,19115725.17,9557417.655,34135478.4
Belandia,Unit4,Big,Third Party,2013,29060110.9,10590270.57,35327786.97
Belandia,Unit4,Big,Third Party,2014,20463676.79,11878524.76,33309236.23
Belandia,Unit4,Big,Third Party,2015,18737431.53,13874601.88,32421801.63
Belandia,Unit4,Big,Packaging,2012,5312829.627,3044942.157,9680787.657
Belandia,Unit4,Big,Packaging,2013,5912964.793,2823211.188,8756840.194
Belandia,Unit4,Big,Packaging,2014,5380046.82,4421175.983,11518966.3
Belandia,Unit4,Big,Packaging,2015,7167271.874,3903650.394,10942617.46
Belandia,Unit4,Big,Travel,2012,44436289.85,16210162.66,63769475.47
Belandia,Unit4,Big,Travel,2013,47954509,17477833.35,63176256.48
Belandia,Unit4,Big,Travel,2014,47272134.12,17651912.19,62480198.1
Belandia,Unit4,Big,Travel,2015,45509514.57,19090309.73,61780508.8
Belandia,Unit4,Big,NA,2012,0,0,0
Belandia,Unit4,Big,NA,2013,0,0,0
Belandia,Unit4,Big,NA,2014,0,0,0
Belandia,Unit4,Big,NA,2015,0,0,0
Belandia,Unit4,Big,NA,2012,11282328.56,6568320.098,16331152.97
Belandia,Unit4,Big,NA,2013,12294312.14,7444728.02,19010229.5
Belandia,Unit4,Big,NA,2014,15384229.24,8733012.196,21030897.86
Belandia,Unit4,Big,NA,2015,12667359.49,9358744.584,23115725.53
Belandia,Unit4,Big,Combined,2012,0,0,0
Belandia,Unit4,Big,Housing,2012,32798781.48,16252674.26,50341256.19
Belandia,Unit4,Big,Housing,2013,38831226.44,18618855.55,50713072.85
Belandia,Unit4,Big,Housing,2014,31569689.94,17085097.83,48622589.72
Belandia,Unit4,Big,Housing,2015,29922088.01,18856095.48,50308977.29
Belandia,Unit4,Big,Accidents,2012,0,0,0
Belandia,Unit4,Small,Doctors,2012,20861024.45,13296482.19,42508148.49
Belandia,Unit4,Small,Doctors,2013,24661575.38,13859643.42,41453905.09
Belandia,Unit4,Small,Doctors,2014,25331989.18,15334407.22,43337825.6
Belandia,Unit4,Small,Doctors,2015,28926736.29,18893327.26,46904278.74
Belandia,Unit4,Small,Doctors,2016,32148974.76,18574213.45,53991986.37
Belandia,Unit4,Small,Criminals,2012,0,0,0
Belandia,Unit4,Small,Third Party,2012,1531205.593,1680950.595,4953006.594
Belandia,Unit4,Small,Third Party,2013,1366044.771,1992443.165,5402288.565
Belandia,Unit4,Small,Third Party,2014,1542430.734,1955934.116,5818829.552
Belandia,Unit4,Small,Third Party,2015,1340815.771,2139599.517,5310392.933
Belandia,Unit4,Small,Third Party,2016,17408937.28,14319436,36077981.29
Belandia,Unit4,Small,Packaging,2012,356776.7936,302512.7593,675743.1603
Belandia,Unit4,Small,Packaging,2013,300295.3339,357339.1552,837385.2561
Belandia,Unit4,Small,Packaging,2014,118804.6812,270727.2701,681803.0758
Belandia,Unit4,Small,Packaging,2015,84048.00924,99687.86694,364018.8995
Belandia,Unit4,Small,Packaging,2016,5810381.706,3710106.611,10949763.48
Belandia,Unit4,Small,Travel,2012,100505501.6,35996346.72,140266144
Belandia,Unit4,Small,Travel,2013,101583946.7,45992994.43,147375419.7
Belandia,Unit4,Small,Travel,2014,96819242.82,50935891.36,151058194.4
Belandia,Unit4,Small,Travel,2015,114074509.7,54758073.82,157794726.9
Belandia,Unit4,Small,Travel,2016,157072213.4,70881371.4,229686930.3
Belandia,Unit4,Small,NA,2012,0,0,0
Belandia,Unit4,Small,NA,2013,0,0.034483139,0
Belandia,Unit4,Small,NA,2014,0,0,0
Belandia,Unit4,Small,NA,2015,0,0,0
Belandia,Unit4,Small,NA,2016,0,0,0
Belandia,Unit4,Small,NA,2012,9909841.714,6050559.639,18026972.49
Belandia,Unit4,Small,NA,2013,10769643.41,7903992.985,20865417.57
Belandia,Unit4,Small,NA,2014,14748468.35,9329906.335,21767599.13
Belandia,Unit4,Small,NA,2015,15021506.29,8881146.319,24127737.87
Belandia,Unit4,Small,NA,2016,28162706.48,19872239.03,51626361.15
Belandia,Unit4,Small,Combined,2012,0,0,0
Belandia,Unit4,Small,Housing,2012,39884801.27,18129023.88,55328127.09
Belandia,Unit4,Small,Housing,2013,39442563.35,20013412.51,56470061.06
Belandia,Unit4,Small,Housing,2014,30550672.27,21372177.99,57285921.28
Belandia,Unit4,Small,Housing,2015,38753826.13,22067572.81,59422008.32
Belandia,Unit4,Small,Housing,2016,68569450.33,43575792.63,111126803
Belandia,Unit4,Small,Accidents,2012,0,0,0
Belandia,Unit5,Big,Doctors,2012,0,0,0
Belandia,Unit5,Big,Criminals,2012,0,0,0
Belandia,Unit5,Big,Third Party,2012,17663168.13,5702558.4,16358043.56
Belandia,Unit5,Big,Third Party,2013,12414387.27,7461918.701,14512160.11
Belandia,Unit5,Big,Third Party,2014,12653564.94,7284288.993,17357384.47
Belandia,Unit5,Big,Third Party,2015,15384158.18,7155285.042,19619587.04
Belandia,Unit5,Big,Packaging,2012,206894.4774,358146.2609,1099342.529
Belandia,Unit5,Big,Packaging,2013,255522.3872,289739.5521,833511.0197
Belandia,Unit5,Big,Packaging,2014,239932.3356,288890.9009,735458.4472
Belandia,Unit5,Big,Packaging,2015,115672.9647,279641.5187,714705.9157
Belandia,Unit5,Big,Travel,2012,17634730.5,5692480.273,24931494.76
Belandia,Unit5,Big,Travel,2013,16183548.36,6158138.886,19889032.72
Belandia,Unit5,Big,Travel,2014,20603259.11,7325191.02,22416865.02
Belandia,Unit5,Big,Travel,2015,31178557.57,12048233.61,33719932.38
Belandia,Unit5,Big,NA,2012,0,0,0
Belandia,Unit5,Big,NA,2013,0,0.011629767,0.010594766
Belandia,Unit5,Big,NA,2014,0,0,0
Belandia,Unit5,Big,NA,2015,0,0,0
Belandia,Unit5,Big,NA,2012,9020607.194,797310.2484,8383686.113
Belandia,Unit5,Big,NA,2013,579947.0938,3706102.87,8269916.61
Belandia,Unit5,Big,NA,2014,5478867.901,4525575.615,8371595.914
Belandia,Unit5,Big,NA,2015,0,0,3411.501348
Belandia,Unit5,Big,Combined,2012,13468730.65,7477626.272,22178107.07
Belandia,Unit5,Big,Combined,2013,19651965.39,8784351.388,21826391.12
Belandia,Unit5,Big,Combined,2014,23517356.8,10528638.96,27329387.23
Belandia,Unit5,Big,Combined,2015,21234616.6,13343747.43,30696365.38
Belandia,Unit5,Big,Housing,2012,13646685.48,11926536.11,31402248.68
Belandia,Unit5,Big,Housing,2013,12891637.19,10251599.24,28297916.86
Belandia,Unit5,Big,Housing,2014,10522853.69,11652871.3,27607569.64
Belandia,Unit5,Big,Housing,2015,13010752.59,10860685.32,28989606.09
Belandia,Unit5,Big,Accidents,2012,19677648.41,6032314.938,20588763.25
Belandia,Unit5,Big,Accidents,2013,15456111.89,7382478.832,17125896.65
Belandia,Unit5,Big,Accidents,2014,15279643.86,7088842.417,19149985.89
Belandia,Unit5,Big,Accidents,2015,15306661.2,6442869.794,19853789.72
Belandia,Unit5,Small,Doctors,2012,0,0,0
Belandia,Unit5,Small,Criminals,2012,0,0,0
Belandia,Unit5,Small,Third Party,2012,0,0,0
Belandia,Unit5,Small,Third Party,2016,15119583.38,9100116.388,22631437.94
Belandia,Unit5,Small,Packaging,2012,0,0,0
Belandia,Unit5,Small,Packaging,2016,108296.1815,201417.1756,599186.9083
Belandia,Unit5,Small,Travel,2012,96896166.21,30621615.58,117518688.2
Belandia,Unit5,Small,Travel,2013,92863945.72,27945471.77,99791112.77
Belandia,Unit5,Small,Travel,2014,72381728.1,24202113.47,91512786.47
Belandia,Unit5,Small,Travel,2015,57056324.95,21648405.54,73920008.38
Belandia,Unit5,Small,Travel,2016,79798204.04,32367028.2,117875131.5
Belandia,Unit5,Small,NA,2012,0,0,0
Belandia,Unit5,Small,NA,2013,0,0,0
Belandia,Unit5,Small,NA,2014,0,0,0
Belandia,Unit5,Small,NA,2015,0,0,0
Belandia,Unit5,Small,NA,2016,0,0,0
Belandia,Unit5,Small,NA,2012,947318.0501,349786.3885,6127179.865
Belandia,Unit5,Small,NA,2013,7773954.775,3000117.226,6027003.588
Belandia,Unit5,Small,NA,2014,4010865.867,3569735.658,7389422.015
Belandia,Unit5,Small,NA,2015,3899510.471,2630460.77,6548271.55
Belandia,Unit5,Small,NA,2016,5146885.004,6780910.351,8569610.948
Belandia,Unit5,Small,Combined,2012,0,0,0
Belandia,Unit5,Small,Combined,2016,20671399.97,12765568.34,36846294.8
Belandia,Unit5,Small,Housing,2012,30655688.15,20403219.01,62248258.85
Belandia,Unit5,Small,Housing,2013,27819383.83,24591461.71,61712386.79
Belandia,Unit5,Small,Housing,2014,38939993.18,24495634.42,67019852.68
Belandia,Unit5,Small,Housing,2015,33756402.69,25123551.5,68127675.77
Belandia,Unit5,Small,Housing,2016,47563940.5,36707637.22,103274293.9
Belandia,Unit5,Small,Accidents,2012,0,0,0
Belandia,Unit5,Small,Accidents,2016,13587995.68,6382175.388,19942930.98
Belandia,Unit6,Big,Doctors,2012,10013867.64,4229973.393,14016185.14
Belandia,Unit6,Big,Doctors,2016,8517433.337,3105892.122,10895148.12
Belandia,Unit6,Big,Criminals,2012,848893.0724,293098.1261,1472619.522
Belandia,Unit6,Big,Criminals,2016,2055441.978,1291727.214,4594149.499
Belandia,Unit6,Big,Third Party,2012,33628602.95,12854973.44,57118441.86
Belandia,Unit6,Big,Third Party,2016,44208469.95,21104861.1,71349084.08
Belandia,Unit6,Big,Packaging,2012,650304.8251,281274.0226,1437127.759
Belandia,Unit6,Big,Packaging,2016,1838167.232,760403.9343,3793313.507
Belandia,Unit6,Big,Travel,2012,22160628.92,6051974.773,26158946.72
Belandia,Unit6,Big,Travel,2016,16356061.21,6218328.941,22422932.23
Belandia,Unit6,Big,NA,2012,0,0,0
Belandia,Unit6,Big,NA,2012,237676.2271,346296.3458,-42905.81118
Belandia,Unit6,Big,NA,2016,4873.565073,-212883.8676,67344.83174
Belandia,Unit6,Big,Combined,2012,0,0,0
Belandia,Unit6,Big,Housing,2012,17991459.31,4697023.553,26850904.03
Belandia,Unit6,Big,Housing,2016,6291329.1,6566639.001,18581924.44
Belandia,Unit6,Big,Accidents,2012,0,0,0
Belandia,Unit6,Big,Accidents,2016,0,77441.66503,253744.647
Belandia,Unit6,Big,Doctors,2012,16203156.4,8072846.664,27133633.44
Belandia,Unit6,Big,Doctors,2013,17919125.44,10782781.87,26272607.82
Belandia,Unit6,Big,Doctors,2014,19599571.24,11373031.42,30684577.01
Belandia,Unit6,Big,Doctors,2015,26195523.12,13318766.64,37044642.95
Belandia,Unit6,Big,Criminals,2012,11514549.14,8354732.02,20628278.36
Belandia,Unit6,Big,Criminals,2013,11052217.53,7267565.097,15781258.26
Belandia,Unit6,Big,Criminals,2014,10104020.02,6753314.462,13478800.2
Belandia,Unit6,Big,Criminals,2015,9558299.165,5413397.658,9373488.837
Belandia,Unit6,Big,Third Party,2012,43790513.3,24339597.02,67963093.1
Belandia,Unit6,Big,Third Party,2013,44414841.75,26831807.85,67720329.09
Belandia,Unit6,Big,Third Party,2014,45983865.63,27453687.82,71461198.53
Belandia,Unit6,Big,Third Party,2015,46822174.18,27312695.61,73290593.6
Belandia,Unit6,Big,Packaging,2012,2126865.396,3027106.854,6588824.48
Belandia,Unit6,Big,Packaging,2013,2216267.069,2032437.361,6266428.345
Belandia,Unit6,Big,Packaging,2014,1987515.711,2360706.444,6083429.431
Belandia,Unit6,Big,Packaging,2015,2398255.514,2359851.678,5313562.826
Belandia,Unit6,Big,Travel,2012,13822239.76,4086701.315,18936268.66
Belandia,Unit6,Big,Travel,2013,11258949.29,4226248.117,19049968.05
Belandia,Unit6,Big,Travel,2014,11973892.99,5453386.129,17728716.43
Belandia,Unit6,Big,Travel,2015,15010890.09,4765850.192,18078713.48
Belandia,Unit6,Big,NA,2012,0,0,0
Belandia,Unit6,Big,NA,2013,-0.022886547,-0.010641764,0
Belandia,Unit6,Big,NA,2014,0,0,0
Belandia,Unit6,Big,NA,2015,0,0,0
Belandia,Unit6,Big,NA,2012,181220.0008,251508.6861,669838.3443
Belandia,Unit6,Big,NA,2013,171267.1623,58740.02594,486358.6244
Belandia,Unit6,Big,NA,2014,254871.5234,256971.7999,445495.3214
Belandia,Unit6,Big,NA,2015,335700.2531,289108.0773,1470206.311
Belandia,Unit6,Big,Combined,2012,0,0,0
